urun_adi,csv_kategori,siklik,alt_tipler
CAYKUR TIRYAKI SIYAH CAY 1KG,İÇECEK,472,
DOMESTOS ULTRA 810ML.DAG ES.,DETERJAN TEMİZLİK,471,
OYALI CECIL PEYNIRI,SÜT KAHVALTILIK,469,
NOGAY YESIL CIZIK ZEYTIN IRI,SÜT KAHVALTILIK,469,
ULKER COKOKREM KASE 500 GR.-0055-1,SÜT KAHVALTILIK,468,
JUMBO SELE ZEYTIN,SÜT KAHVALTILIK,467,
BURDAN 15 LI YUMURTA BUYUK BOY,SÜT KAHVALTILIK,467,
SUTAS YOGURT 2000 GR KAYMAKLI,SÜT KAHVALTILIK,463,
SENPILIC IZGARA TAVA,ET TAVUK,461,kasap
NESCAFE 2 İ 1 ARADA 18 GR,İÇECEK,460,
DANA KUSBASI,ET TAVUK,460,kasap
ULKER SMART MINI SUTLU CIKOLATA 12 GR,GIDA,457,sekerci
NESTLE NESGUİK CIKOLATALI GOFRET 35GR.,GIDA,455,sekerci
PAKMAYA YAS MAYA 4LU PAKET,GIDA,455,
CAYKUR RIZE TURIST CAY 1000 GR,İÇECEK,454,
SUTAS TOST KASAR PEYNIR 700 GR,SÜT KAHVALTILIK,451,
ULKER ALBENI 40GR.-345-,GIDA,449,
PINAR MADRAN SU 500ML SIRINLER SPORCU K.,İÇECEK,446,
DR.OETKER K.TOZU 5LI POSET,GIDA,445,
ULKER PETIBOR BISKUVI 1KG.-133,GIDA,444,
ULUDAG LIMONATA 1 LITRE,İÇECEK,442,
SUTAS AYRAN 225 ML,İÇECEK,439,bufe
DERYA TAZE KASAR 700GR,SÜT KAHVALTILIK,438,
ETI CIN MINI PORTAKALLI 48 GR,GIDA,437,
ETI TUTKU BISKUVI POSET 140 GR,GIDA,431,
CAYKUR RIZE TURIST CAY 500 GR,İÇECEK,431,
PINAR SUT 500 GR.,SÜT KAHVALTILIK,427,
"KAY SU 1,5 LT",İÇECEK,426,
TEREM YAG KASE 250 GR.,SÜT KAHVALTILIK,425,
GREYFURT,MEYVE SEBZE,423,manav
NUTELLA FINDIK EZMESI 750 GR,SÜT KAHVALTILIK,420,
DERYA KASAR 250GR,SÜT KAHVALTILIK,420,
ULKER DORE SUTLU CIKOLATALI BIS.93 GR,GIDA,420,sekerci
PASAKOY AYRAN 200GR,İÇECEK,419,bufe
ULKER CUBUK KRAKER 150GR.NO:175,GIDA,419,bufe
ULUDAG MADENSU FRUTTI LIMON 200ML,İÇECEK,417,
GUROVA TAM YAGLI BEYAZ PEYNIR,SÜT KAHVALTILIK,415,
KARNIBAHAR,MEYVE SEBZE,413,manav
IRI KABAK,GIDA,412,
SUTAS SUZME BEYAZ PEYNIR 250 GR,SÜT KAHVALTILIK,412,
CAFE CROWN KOPUKLU SUTLU KAHVE LATTE TEKLI,İÇECEK,412,
NANE TAZE,MEYVE SEBZE,412,manav
SUTAS YOGURT KAYMAKSIZ 1KG,SÜT KAHVALTILIK,411,
ALPELLA PUDING 100MLCIKOLATALI PUD,GIDA,408,sekerci
TADIM AY CEKIRDEGI 200 GR,GIDA,405,
COCA COLA 250 ML TNK,İÇECEK,402,bufe
SUTAS AYRAN 300 ML.,İÇECEK,402,bufe
F SAFF HAVLU KAGIDI 2 LI,KAĞIT,401,
