urun_adi,csv_kategori,siklik,alt_tipler
VIVIDENT UP2U 26 GR NANE DAMLA SAKIZLI,GIDA,8,sekerci
EKİN NOHUT KOÇBAŞI 1KG,GIDA,8,
MILUPA LAPTAMIL 200 GR,BEBEK,8,
COLGATE D.M.SENSITIVE PROLIEF +D.F HED.,KOZMETİK,8,
PENGUEN ACI BIBER SALCA 560GR,GIDA,8,
WELLA KOLESTON 8/1 MAXI,KOZMETİK,8,
VEET AGDA BANDI 12 ADET E VITAMIN VE BADEM YAĞI,KOZMETİK,8,
SERA STREC 33 METRE,EV,8,
AKDEM SINEMAKI CAYI 20LI,İÇECEK,8,
NIVEA FORMEN 100 ML HASSAS TIRAS KREMI,KOZMETİK,8,
DAVIDOFF CLASSIC,SİGARA,8,
LIPTON EARL GREY TEA 1000GR.,İÇECEK,8,
PRIL MULTI PERFECT JEL YAG SOKUCU 1LT,DETERJAN TEMİZLİK,8,
BIZIM PILAVLIK BULGUR 2.5 KG,GIDA,8,
NIVEA SOFT BESLEYICI BAKIM KREMI,KOZMETİK,8,
DOVE SAMPUAN 700ML KEPEGE KARSI,KOZMETİK,8,
P.BAHCE 42371 GALATA OPTIK BARDAK 6'LI,EV,8,
WEE BABY SİLİKON DAMAKLI SEFFAF DESENLI EMZIK NO.1,BEBEK,8,
ELIDOR 700ML SAC KREMI ISILDAYAN PARLAKLIK,KOZMETİK,8,
BINGOSIL HALI 1000 ML HALI MAKINE 4 IN 1,DETERJAN TEMİZLİK,8,
SEK KREM PEYNIR 250 GR,SÜT KAHVALTILIK,8,
KNORR MUHLATA CORBASI,GIDA,8,
HIGHGENIC PASLANMAZ CELIK YUZEY TEM.500ML,DETERJAN TEMİZLİK,8,
S.BRITE ULTRA KONFOR KLASIK SUNGER 2'LI,DETERJAN TEMİZLİK,8,
AKDEM IHLAMUR CAYI 20LI,İÇECEK,8,
BLENDAX 400GR.ERKEKLERE MENTOLU,KOZMETİK,8,
DOVE SAMPUAN 700ML GÜNLÜK THERAPY,KOZMETİK,8,
KNORR SALATA SOSU TKB-MAYD. 5 LI,GIDA,8,
NIVEA KREM 75ML. ITHAL,KOZMETİK,8,
MARC BANYO SPREY 1 LT,DETERJAN TEMİZLİK,8,
PINAR INEGOL KOFTE 442 GR,GIDA,8,
DOMESTOS REZER.BL. DENİZ FERAHLIĞI 100 GR,DETERJAN TEMİZLİK,8,
SOLEN BİSCOLATA STİX 45GR BITTER CIK.,GIDA,8,
BAGDAT IZGARA BAHARATI 95GR,GIDA,8,
PRIL 7 TABLET 60'LI,DETERJAN TEMİZLİK,8,
FAKIR HALI SAM.MATIK 1 KG,DETERJAN TEMİZLİK,8,
WEE AKIDE DAMAKLI SILIKON EMZIK NO:2,BEBEK,8,
PENGUEN RECEL CILEK 1800 GR,SÜT KAHVALTILIK,8,
ELIDOR 7/24 SEKILENDIRICI KREM BELIRGIN BUKLELER,KOZMETİK,8,
COOK BUZ TORBASI 12 ADET,EV,8,
TAT RECEL GUL 380GR,SÜT KAHVALTILIK,8,
DR.OETKER TRUFFE 240GR,GIDA,8,
HEAD SHOULDERS SAC KREMI 400MLELMAFER.,KOZMETİK,8,
T.OĞLU T.YAGLI CANAKKALE BEYAZ PEYNIR 1 KG,SÜT KAHVALTILIK,8,
PANTENE PRO-V 600 ML SAMP. DOKULMELERE KARSI,KOZMETİK,8,
YEDIGUN 250 ML CAM LIMONETTO,İÇECEK,8,
ARKO TRAŞ KOPUGU 300ML FOAM,KOZMETİK,8,
UNI BABY KULAK CUBUGU 56'LI,BEBEK,8,
YEDIGUN 250 ML CAM MANDALINA,İÇECEK,8,
S.BRITE COKAMACLI ELDIVEN 6,DETERJAN TEMİZLİK,8,
WEE GOGUS PEDI 30+10 ADET,BEBEK,8,
SERA YAGLI PISIRME KAGIDI 8 M,EV,8,
SILVER KREM BOYA STANDART 60 ML KAHVE,DETERJAN TEMİZLİK,8,
VILEDA CAM BEZI,DETERJAN TEMİZLİK,8,
DR.OETKER SEKERLI VANILYA AROMALI 4'LU,GIDA,8,
BİEN CROISSANT VISNE 50GR,GIDA,8,
MARLBORO UZUN LIGHTS 100S PAKET,SİGARA,8,
DIMES 1LT %100 MEYVE SUYU UZUM,İÇECEK,8,
NIVEA BABY SENSITIVE 63 AD,KAĞIT,8,
M.BIRLIK HIPER JUMBO ZEYTIN 500 GR,SÜT KAHVALTILIK,8,
ORKID YAPRAK NORMAL EKO PK,KAĞIT,8,
PROTEX SABUN 3+1BEDAVA FRESH,KOZMETİK,8,
SAFRANBOLU SAKIZLI LOKUM 450 GR,SÜT KAHVALTILIK,8,sekerci
DANONE ACTIVIA ORMAN MEYVELI 4LU 440GR,SÜT KAHVALTILIK,8,
SUTAS LABNE 8*20 GR,SÜT KAHVALTILIK,8,
ULKER ONEO SELECT BAHAR SUPRIZI,GIDA,8,
CIF SUNLIGHT BULASIK SIVISI 6KG SARI LIMON,DETERJAN TEMİZLİK,8,
AKDEM TARCIN TOZ  75 GR,İÇECEK,8,
"YEDIGUN 2,5 LT.PORTAKAL-MANDAL",İÇECEK,8,
KOTEX KALIN PED UZUN 10 LU,KAĞIT,8,
COCA COLA 200 ML KUTU,İÇECEK,8,bufe
MILKA M-JOY BUTUN ANTEP FISTIKLI 60GR,GIDA,8,kuruyemisci
NUMIL PRE APTAMIL 1 350 GR,BEBEK,8,
FIRST BUZ SERINLIGI 22 GR NANE,GIDA,8,
LIPTON ENGLISH KAHVALTI 25 LI POSET CAY,İÇECEK,8,
A.CORNETTO DISC VANILYA KARAMEL,SÜT KAHVALTILIK,8,sekerci
ALGIDA CLASSICS KAKAO 70  ML,SÜT KAHVALTILIK,8,
ALG. TWISTER ORMAN MEYVELI,SÜT KAHVALTILIK,8,
NESTLE NESQUIK 500 GR %20 BEDAVA,SÜT KAHVALTILIK,7,
DOVE MEN CREAM BAR EXTRA FRESH 90GR,KOZMETİK,7,
DURU 2000 5LI SABUN375GR GUL,KOZMETİK,7,
NIVEA ROLL-ON DRY IMPACT PLUS MEN,KOZMETİK,7,
HUGGIES MAXI KIZ 46'LI,BEBEK,7,
CANBEBE IKIZ M.PLUS 9-20KG ULTRA KORUMA,BEBEK,7,
PRENSES SEKILLI KUP SEKER 500GR,İÇECEK,7,
BINGO OV 500 GR. KLORLU,DETERJAN TEMİZLİK,7,
GURALLAR ART CRAFT CAM CEREZLIK 6'LI,EV,7,
BIZIM MUTFAK CORBA SEBZE,GIDA,7,
PRIL TABLET 120'LI SODA ETKILI,DETERJAN TEMİZLİK,7,
BAGDAT LIMON TUZU 275GR,GIDA,7,
COLGATE D.F.TOTAL 1+1,KOZMETİK,7,
"DAMLA DOĞAL SU 1,5 ML",İÇECEK,7,
S.BRITE PETEK DOKULU 10'LU TEMİZLIK BEZI,DETERJAN TEMİZLİK,7,
F BAKTAT KARISIK TURSU 3120 GR,GIDA,7,
F BAKTAT BARBUNYA HASLAMA 800 GR,GIDA,7,
AIR WICK FRESH MATIK YED. LAV. 2 ALANA 1 BED.,DETERJAN TEMİZLİK,7,
GLADE AUTOMATIC SPREY YEDEK 175GR HAWAIIAN BREEZE,DETERJAN TEMİZLİK,7,
PHILIPS 18 W=82 W 1100 LM ECO COOL DAYLIGHT,EV,7,
IPANA 3 BOY. BEY. EXTRA FERAH 125ML+ 50 ML BDV,KOZMETİK,7,
P.BAHCE 42421 CAY BARDAGI 6 LI,EV,7,
TAMEK KETCAP 500 GR ACILI,GIDA,7,
KENT TOPITOP BEN ELMA KOLA LIMON 6 AD,GIDA,7,bufe
TAMEK KORNISON TURSU 680GR,GIDA,7,
ARGEM PAPATYA LIMON SIKACAGI,EV,7,
CLEAR 650 ML SAMP. BITKISEL SENTEZ KEPEK.KARSI,KOZMETİK,7,
VASELINE TOTAL MOISTURE KREM 100 ML,KOZMETİK,7,
PRIMA KURU VE HESAPLI 4-9KG 48ADET,BEBEK,7,
ARGEM SUTLAC KASE 10'LU,EV,7,
"WELLA TUP SAC BOYASI 8,0 AÇIK KUMRAL",KOZMETİK,7,
ARKO TRAS KOLONYASI 250 ML KOMANDO,KOZMETİK,7,
WEE SILIKON SEFFAF DESENLI EMZIK DAMAKLI NO:3,BEBEK,7,
CALGONIT BULS.MAK.TEM. SIVI 250ML LIMONLU,DETERJAN TEMİZLİK,7,
JAGLER BAYAN SPREY DEO 150ML,KOZMETİK,7,
KOTEX ULTRA DRY SOFT 24'LU GECE TEKLI PKT HED.,KAĞIT,7,
HELEN H. ULTRA UZUN 28 LI,KAĞIT,7,
DOGUS MOR MEYVELER MEYVE CAYI 20 LI POSET,İÇECEK,7,
HERO BABY SUTLU PIRINÇLI 500 GR,BEBEK,7,
KOSKA RECEL KARADUT 380 GR,SÜT KAHVALTILIK,7,
"LOREAL SAC BOYASI4,03 YOGUN KESTANE",KOZMETİK,7,
GLADE EL. ODA PARF.+POT-PORI,DETERJAN TEMİZLİK,7,
TAMEK KETCAP 500 GR,GIDA,7,
WELLA TUP SAC BOYASI 8.1KULLU KUMRA,KOZMETİK,7,
ARGEM DOGAL CIRA,EV,7,
TAMEK KONSR YAPRAK SARMA 200GR,GIDA,7,
PINAR UCGEN PEYNIR CHEDDARLI 8 LI,SÜT KAHVALTILIK,7,
SENSODYNE JEL COKLU 100 ML,KOZMETİK,7,
EMOTION DEO SPREY 150ML ROMANCE,KOZMETİK,7,
KOSKA HELVA KECIBOYNUZLU 250 GR,SÜT KAHVALTILIK,7,sekerci
S.BRITE KONFOR SUNGER,DETERJAN TEMİZLİK,7,
OKEY KLASIK EKO PAKET 20 LI,KOZMETİK,7,
DR.OETKER JOLE 100 GR.MUZ,GIDA,7,
CALDION JEANS ROLL-ON BAYAN 50ML,KOZMETİK,7,
ARGEM LUX MASRAPA,EV,7,
CANBEBE IKIZ YENIDOGAN,BEBEK,7,
GARNIER SAC BOYA 5 ACIK KAHVE,KOZMETİK,7,
"LOREAL SAC BOYASI 6,30 BADEM KAHVESİ ALTIN KAHVE",KOZMETİK,7,
VERNEL 6LT SENSITIVE,DETERJAN TEMİZLİK,7,
SITIL AYAKKABI BOYA KREM 200GR NATUREL,DETERJAN TEMİZLİK,7,
GURALLAR ART CRAFT CAY BARDAGI 6'LI,EV,7,
ARGEM KREMA TORBASI,EV,7,
MAVILIM KUS YEMI,GIDA,7,
WEE BABY SİLİKON DAMAKLI SEFFAF DESENLI EMZIK NO.2,BEBEK,7,
SIGNAL D.F.SENSITIVE EXPERT,KOZMETİK,7,
FAKIR HALI SAM.ELDE 1 KG,DETERJAN TEMİZLİK,7,
PROTEX SIVI SABUN 300ML HIJYEN,KOZMETİK,7,
ELIDOR 350ML SAMP. ARINDIRICI FERAHLIK,KOZMETİK,7,
BIZIM MUTFAK EKSILI KOFTE CORBASI,GIDA,7,
TAMEK BAMYA TOMBUL 720ML CAM,GIDA,7,
AIR WICK FRESH MATIK 3 AL 2 ODE BAHAR KOKULARI,DETERJAN TEMİZLİK,7,
EMEK YEMEKLIK KANOLA YAGI 5 LT TNK,GIDA,7,
SITIL SPECIAL 60 GR A.KAHVE,DETERJAN TEMİZLİK,7,
PANTENE Y 700ML 2İN 1 SAMPUAN TEMEL BAKIM KEP KARŞ,KOZMETİK,7,
KOTEX ULTRA DRY SOFT 24'LU UZUN TEKLI PKT HED.,KAĞIT,7,
CLIO YAG COZUCU 900 ML,DETERJAN TEMİZLİK,7,
PINAR DOYUM SOSIS 240 GR,ET TAVUK,7,kasap
NIVEA ROLL-ON PEARL BEAUTY 50ML,KOZMETİK,7,
NESTLE PASTANEM DORTKOSE 102 GR,GIDA,7,
TORKU CLASSIC SUTLU CIKOLATA 70GR,GIDA,7,sekerci
KOSKA FINDIK KROKAN 50 GR,SÜT KAHVALTILIK,7,kuruyemisci
PINAR UZUN SOSIS 240 GR,ET TAVUK,7,kasap
JOLY YETISKIN HASTA BEZI 30 ADT MIDYUM,KAĞIT,7,
BINGO DINAMIK 1250GR. BULASIK SIVI LIMON,DETERJAN TEMİZLİK,7,
SIGNAL D.F. BEYAZ GUC OTRA,KOZMETİK,7,
COLGATE MAXFRESH 125 ML + 50 ML BEDAVA,KOZMETİK,7,
DOMESTOS YUZEY TEMIZLEYICI 1 LT TOTAL,DETERJAN TEMİZLİK,7,
CARDAK LIMON SUYU 1+5,İÇECEK,7,
F NEFFIS BARBUNYA 1 KG,GIDA,7,
PHILIPS PARTYLIGHT 15 WT YESIL,EV,7,
CARTE DOR PINTS BROWNIE CAZIBESI 450 ML,GIDA,7,
BINGO DYNAMİC TABLET EXPRESS 56LI,DETERJAN TEMİZLİK,7,
YUMOS EXTRA FIESTA 720ML.SIKLAMEN&MUGE CICEGI,DETERJAN TEMİZLİK,7,
M.BIRLIK HUSUSI ZEYTIN 1KG,SÜT KAHVALTILIK,7,
DOGUS BLACK LABEL 48+12DEMLIK,İÇECEK,7,
HERO 8 TAHILLI DEVAM SUTLU 250GR,BEBEK,7,
ARGEM KIRPI CAY SUZGECI,EV,7,
ULKER GRANINI NEKTARI VISNE 1KG,İÇECEK,7,
PEYMAN KOKTEYL MIX 200 GR 2012,GIDA,7,
LUNA KASE MARGARIN 250 GR.ZEYTINYAGLI,SÜT KAHVALTILIK,7,
BINGO MUTFAK SPREY 750ML +BANYO HED.,DETERJAN TEMİZLİK,7,
MANGAL KOMURU 1 KG MERCAN-CELIKSOY,EV,7,
ARGEM MEYVE BICAGI 6'LI,EV,7,
FINISH OUANTUM 25 ADET,DETERJAN TEMİZLİK,7,
UZUM,MEYVE SEBZE,7,manav
SHE SPREY DEO 150ML,KOZMETİK,7,
COLGATE D.F. 1+1 DEEP CLEAN MEDIUM,KOZMETİK,7,
ULKER KREMINI TOFFE CILEK,GIDA,7,sekerci
DOGADAN GIZLI BAHCE 48LI DEMLIK,İÇECEK,7,
BECEL TUZ 250ML IYOTLU,SÜT KAHVALTILIK,7,
PIKNIK 1393 BUZDOLABI POSETI BATTAL 20 LI,EV,7,
CIF SUNLIGHT BULASIK DETERJANI PORTAKAL 1275 GR,DETERJAN TEMİZLİK,7,
ORKID YAPRAK ÜCÜZ PK 60 LIGHT,KAĞIT,7,
PIKNIK 002 4'LU BEYAZ MUM,EV,7,
AKDEM KEKIK CAYI 70 GR,İÇECEK,7,
PIKNIK 117 HIJYENIK KURDAN,EV,7,
ACTİVEX BEN 10 SIVI SABUN CILEK 350ML,KOZMETİK,7,
UMIT MEYVELİ SELANİK GEVREĞİ 130 GR,GIDA,7,
CARTE DOR PUDING CIKOLATALI BADEMLI 89 GR,GIDA,7,sekerci
JOLY ULTRA KANATLI UZUN 8 AD.,KAĞIT,7,
HELEN H. ULTRA GECE 26ADET,KAĞIT,7,
SUPER FRESH TEPSI BOREGİ,GIDA,7,
DR.OETKER TIRAMISU 355GR,GIDA,7,
PHILIPS 20W=88 W COOL DAYLIGHT,EV,7,
VILEDA SUPER YEDEK PASPAS 2 Lİ,DETERJAN TEMİZLİK,7,
LİPTON BERRAK YEŞİL ÇAY LİMONLU 20LI,İÇECEK,7,
BIOMEEN ŞAMPUAN 700ML NORMAL SACLAR,KOZMETİK,7,
"OLCA DOMATES SALCASI 4,300 GR",GIDA,7,
ARGEM KARABIBER-TUZLUK DEGIRMENI,EV,7,
FIDANLAR PLASTIK BARDAK 10 U,EV,7,
S.BRITE 2LI PASPAS %35 IND,DETERJAN TEMİZLİK,7,
IPEK SACKREMI 700 ML KURU SACLAR ICIN,KOZMETİK,7,
BEBELAC SÜTLÜ PIRINCLI 500 GR,BEBEK,7,
BANVIT BANDIRMA KOFTE 230 GR,ET TAVUK,7,kasap
KOSLA SIVI EXTRA HİJYEN 940 ML,DETERJAN TEMİZLİK,7,
DURACELL TURBO 4LU KALEM PIL AAA POWERCHECK,EV,7,
DR.OETKER MILKSHAKE CIKOLATA-CILEK 30GR,GIDA,7,sekerci
CAPPY MEYVA NEKTARI 1LTRAMAZANŞERBETİ,İÇECEK,7,
LOREAL SAC BOYASI 7.43,KOZMETİK,7,
HALK KEK 4 ADET KAKAOLU 4*35,GIDA,7,
CALGONIT HEPSI BIR ARADA 56 LI,DETERJAN TEMİZLİK,7,
CHAMPION KUS YEMI KRAKER MUZLU BALLI,PET,7,
SOLEN OCTAVIA 30 GR,GIDA,7,
DR.OETKER KEKUN LIMONLU 465GR,GIDA,7,
KOSLA OXI KRİSTAL BEYAZ 500 GR,DETERJAN TEMİZLİK,7,
CARTE DOR KABAK TATLISI 240GR,GIDA,7,
ARKO NEM 75 ML. EL KREMİ GLİSERİNLİ,KOZMETİK,7,
SHEFFAF MELAMIN SERVIS TEPSISI,EV,7,
WELLA KOLESTON 6/34 MAXI,KOZMETİK,7,
BAKTAT SALATALIK TURSUSU 1700 GR,GIDA,7,
WELLA TUP SAC BOYASI 3/4 KOYU KESTANE,KOZMETİK,7,
NIVEA DEO 150 ML INVISIBLE FOR BLACK &WHITE,KOZMETİK,7,
BLADE COOLER DEO SPREY FOR MEN 150 ML,KOZMETİK,7,
CIF AKTIF FRESH 2500 ML AMONYAKLI,DETERJAN TEMİZLİK,7,
ULKER HOBBY KEK MOZAIK,GIDA,7,
HOBBY CRAZY HEAD JOLE 150 ML NORMAL,KOZMETİK,7,
HALK BAHARATLI PIZZA KRAKER 4*60 GR,GIDA,7,bufe
SATEN YUZ ICIN SIRLI BAND,KOZMETİK,7,
MILUPA KAV.200GR MAND-UZUM-ELMA,BEBEK,7,
HARIBO SIRINLER 90 GR,GIDA,7,
TAT KARISIK TURSU 1550 GR CAM,GIDA,7,
ARGEM WC TAKIM,EV,7,
SENER HELVA 500GR KAKAO,SÜT KAHVALTILIK,7,sekerci
BINGO DYNAMIC A.OXYGEN 1 KG TOZ,DETERJAN TEMİZLİK,7,
HOBBY CRAZY HEAD JOLE 150 ML ISLAK,KOZMETİK,7,
MR.MUSCLE KIREC VE KIR SOKUCU FIRSAT PAKETI,DETERJAN TEMİZLİK,7,
"WELLA TUP SAC BOYASI 5,37 KIŞ. KAHVE",KOZMETİK,7,
FUSION MANUEL BICAK 2 LI,KOZMETİK,7,
BALPARMAK 600GR PET BAL CICEK,SÜT KAHVALTILIK,7,
KNORR ACISSO 50 ML,GIDA,7,
CLEAR 650 ML SAMP. WOMEN KOMPLE BAKIM,KOZMETİK,7,
PRONTO CLASSIC LAVENDER 300 ML.,DETERJAN TEMİZLİK,7,
PANTENE  600 ML SAMP. DOGAL SENTEZ,KOZMETİK,7,
CLEAR 650 ML SAMP. TERAPI,KOZMETİK,7,
WELLA KOLESTON 8/0 ACIK KUMRAL,KOZMETİK,7,
BERRAK MISIR TURSUSU 370 ML,GIDA,7,
TAMEK BIBERIYE TURSUSU 370GR,GIDA,7,
BLENDAX 700ML TUM SAC TIPLERI,KOZMETİK,7,
TAT RECEL AYVA 380GR,SÜT KAHVALTILIK,7,
CIF BALLERINA OLUKLU SUNGER 2'LI,DETERJAN TEMİZLİK,7,
DR.OETKER SUTLAC DAMLA SAKIZLI 155GR,GIDA,7,sekerci
ANCHOR TIRNAK MAKASI DELUXE SET,KOZMETİK,7,
BEBELAC SUTLU PIRINC 250GR,BEBEK,7,
OMO TOTAL 1400 ML COLOR ULT. KONSENTRE SIVI DET,DETERJAN TEMİZLİK,7,
SITIL SPOR AYAK. TEMIZLEME SUNGERI 75 ML.,DETERJAN TEMİZLİK,7,
PALMOLIVE SIVI SABUN 750ML YEDEK M&H,KOZMETİK,7,
HALK DUFDUF 8'LI KAKAOLU 120 GR,GIDA,7,
KNORR TAVUK SUYU 4 LU,GIDA,7,
DOGADAN FORM MISIR PUSKULLU20'LI,İÇECEK,7,
PRIL BULS.MAK.PARLATICI 730 ML,DETERJAN TEMİZLİK,7,
TAT MANTAR 510 GR,GIDA,7,
K.KUKRER UZUM SIRKESI 1LT PET,GIDA,7,
TAMEK MEYVE SUYU 330 ML KARISIK,İÇECEK,7,
BLENDAX 700ML ERKEKLERE OZEL MENTOL,KOZMETİK,7,
CIF KREM 750+750 GR AMONYAKLI,DETERJAN TEMİZLİK,7,
NIVEA LIP DUDAK KORUYUCU JOJOBA SHEA YAGI,KOZMETİK,7,
"WELLA TUP SAC BOYASI 5,0 AÇIK KAHVE",KOZMETİK,7,
LIPTON TB 40GR KIS CAYI EKINEZYA 20LI,İÇECEK,7,
CLEAR 650 ML SAMP.YUMUSAK VE PARLAK,KOZMETİK,7,
DOGUS EARL GREY 100X2 SUZEN SIYAH POSET CAY,İÇECEK,7,
ARKO TRAS KOPUGU 200ML.SENSITIVE,KOZMETİK,7,
FAKIR HALI SAM.MATİK 1 KG LAVANTA,DETERJAN TEMİZLİK,7,
YEDIGUN 1 LT BODRUM MANDALİNA PET SISE,İÇECEK,7,
BINGO DYNAMIC LIMON KOKULU 1 KG,DETERJAN TEMİZLİK,7,
MAGNUM MINI OZEL SERI 6 LI CLASSIC BADEM  350 ML,SÜT KAHVALTILIK,7,
IPANA D.M.DOGAL FERAHLIK 50 ML 7 KORUMA,KOZMETİK,7,
COLGATE D.M.TOTAL PROFESSIONAL SENSITIVITY 100ML,KOZMETİK,7,
CLIO JEL LAVABO AÇICI 900 ML,DETERJAN TEMİZLİK,7,
PAM SIVI SABUN 2LT GUL BUKETI,KOZMETİK,7,
FINISH QUANTUM TABLET 30 LU OXI CAMASIR SUYU,DETERJAN TEMİZLİK,7,
LIPTON EARL GREY TEA 100 AD BARDAK,İÇECEK,7,
PIKNIK 150 MEYVE BICAGI 6 LI,EV,7,
CLEAR 350 ML SAMP.MEN DOKULMELERE KARSI,KOZMETİK,7,
COLGATE OPTIK BEYAZ DIS IPI,KOZMETİK,7,
IPEK SAMP.700 ML INCETELLI SACLAR ICIN,KOZMETİK,7,
DOGADAN YESIL CAY NANE LIMON,İÇECEK,7,
VILEDA MIKROFIBER PLUS TEMIZLIK BEZI,DETERJAN TEMİZLİK,7,
KNORR ZEYTINYAGLI DOLMA HARCI 100GR,GIDA,7,
PANTENE PRO-V 600 ML SAMP. KEPEGE KARSI,KOZMETİK,7,
NIVEA ROLL-ON FRESH NATURAL 50ML,KOZMETİK,7,
HALK KEK 4 ADET MEYVELI 4*35,GIDA,7,
WEE AKIDE DAMAKLI SILIKON EMZIK NO:1,BEBEK,7,
PAPIA DEKOR HAVLU KAGIT 6LI BETTY BOOP,KAĞIT,7,
IPEK SAMP.700 ML 2Sİ1 ARADA KEPEĞE KARŞI,KOZMETİK,7,
TAT FASULYE PILAKI 400 GR,GIDA,7,
GARNIER SAC BOYA 8 KOYU SARI,KOZMETİK,7,
BANAT D.F.OPTIMA MEDIUM,KOZMETİK,7,
SHE ROLL-ON IS PRETTY 40ML,KOZMETİK,7,
ARGEM CAM SEKERLIK,EV,7,
MILKA 75GR FINDIKLI CIKOLATA,GIDA,7,sekerci
DALIN KIDS SAC VUCUT SAMP.300ML ELMA,BEBEK,7,
TAT HASLANMIS BARBUNYA 420 GR,GIDA,7,
COLGATE D.M.SENSITIVE PRO-RELIEF 75 ML,KOZMETİK,7,
KOMILI OLIVE SUT ZEYTINYAGLI 5*75 GR,KOZMETİK,7,
CIL NEROX KESIM PANOSU,EV,7,
UNO GRİSSUNO KEPEKLİ 5X30 GR,GIDA,7,
WEE AKIDE DAMAKLI SILIKON EMZIK NO:3,BEBEK,7,
RENGA HELEZON KAP.YUV.SAKLAMA KABI,EV,7,
PALMOLIVE DUS JELI 250 ML.THERMAL HYDRATING,KOZMETİK,7,
YORSAN BEYAZ PEYNIR LIGHT 1KG,SÜT KAHVALTILIK,7,
JOLY YETISKIN HASTA BEZI 8 ADT,KAĞIT,7,
TARAK RENKLI (SAPLI),KOZMETİK,7,
DOMESTOS YUZEY TEMIZLEYICI 1 LT ENERJI,DETERJAN TEMİZLİK,7,
AKDEM EKİNAZYA CAYI 20LI,İÇECEK,7,
S.BRITE HASSAS ELDIVEN 6,DETERJAN TEMİZLİK,7,
DETAN BOCEK KIRAN SU BAZLI 300 ML,DETERJAN TEMİZLİK,7,
PINAR SUT %50 LIGHT 500ML,SÜT KAHVALTILIK,7,
P.BAHCE DONDURMA HASBELI PEMBE,EV,7,
RINSO MATIK 5 KG OKYANUS,DETERJAN TEMİZLİK,7,
ELSEVE 360ML.SAC KREMI YIPRANMIS,KOZMETİK,7,
KARMEZ MİNİ KEPEKLİ TOST EKMEĞİ,GIDA,7,
PANTENE PRO-V 600 ML SAMP. ONARICI BAKIM,KOZMETİK,7,
KARMEZ MINI LIGHT EKMEK 300GR,GIDA,7,firin
ELSEVE 700 ML PARLAKLIL SAMPUANI,KOZMETİK,7,
SITIL SPECIAL SİYAH DEPOLU PARLATICI,DETERJAN TEMİZLİK,7,
BIZIM BALDO PİRİNÇ 1KG,GIDA,7,
GAZIOGLU UCLER SEKERPARE,GIDA,7,
"BINGO TABLET DET.SET TAB 15+TUZ 1,5 KG+PAR.500 ML",DETERJAN TEMİZLİK,7,
CARTE DOR PUDING CIKOLATALI PORTAKALLI  116GR,GIDA,7,sekerci
ORKID ALLDAYS 28 LARGE,KAĞIT,7,
TARIS Z.YAGI RIVIERA 1LT,GIDA,7,
HEAD SHOULDERS SAC KREMI 400ML EXTRA NEMLENDIRICI,KOZMETİK,7,
SIGNAL WHITE NOW D.M 75 ML DIS FIRCASI HED,KOZMETİK,7,
SILVER 3 ML HAZNELI SUNGER SIYAH,DETERJAN TEMİZLİK,7,
SOKE VITAMINLI VE MINARELLI BUĞ.UNU 1KG,GIDA,7,
NIVEA POWER FRUIT DUS JELI 2.SI HEDIYE,KOZMETİK,7,
AKDEM LAVANTA ÇİÇEĞİ 60 GR,İÇECEK,7,
ULKER SMARTT S.DOLG.CIKOLATA 96GR,GIDA,7,sekerci
FAIRY H 1 ARADA BUL.MAKINESI 70'LI. LIMON,DETERJAN TEMİZLİK,7,
PROTEX SIVI SABUN HIJYEN 750ML,KOZMETİK,7,
MILKA BONIBON 3LU TUP,GIDA,7,
PASTAVILLA JUNIOR PAPATYA 500GR,GIDA,7,
P.BAHCE 98673 KITCHEN KAVANOZ ELASTOM,EV,7,
ORAL-B D.F. COMPLETE XS,KOZMETİK,7,
CAGLA BADEM,MEYVE SEBZE,7,manav
ALGIIDACLASSICS KARAMEL 70ML,SÜT KAHVALTILIK,7,sekerci
P.BAHCE 52010 PASTORAL BARDAK6'LI,EV,7,
ALGIDA CLASSICS VANILYA  70 ML,SÜT KAHVALTILIK,7,
PANTENE 400GR DOGAL SENTEZ ŞAMPUAN,KOZMETİK,6,
P.BAHCE 52883 SPACE 6LI SU BARDAGI,EV,6,
SHE ROLL-ON IS FUN 40ML,KOZMETİK,6,
PROTEX PRO BAKIM 300 ML,KOZMETİK,6,
LOREAL SAC BOYASI 8,KOZMETİK,6,
ULKER GOLF SIZIN ICIN CILEK 1 LT,SÜT KAHVALTILIK,6,
SARAY CITIR PEYNIRLI KRAKER 4!LU,GIDA,6,bufe
TAT YAPRAK SARMA 190GR,GIDA,6,
GARNIER SAC BOYA 6 KOYU KUMRAL,KOZMETİK,6,
SIRMA MISIROZU YAG 1LT.,GIDA,6,
CIF NATURAL YUZEL TEM. 1KG HANIMELI,DETERJAN TEMİZLİK,6,
PHILIPS SMALL ECONOMY 14W INCE DUY BEYAZ,EV,6,
MOLFİX İKİZ PAKET MİNİ 3-6KG,BEBEK,6,
ULKER KELLOGG`S CORN FLAKES 500 GR POSET,SÜT KAHVALTILIK,6,
DIXI SIVI 900ML.YABAN GULU,DETERJAN TEMİZLİK,6,
ULKER TOFFE 350GR DAMLA SAKIZLI,GIDA,6,sekerci
AKDEM NAR EKSISI 820GR.,GIDA,6,
FARELL ODA KOKUSU TRIGERLI OKYANUS,DETERJAN TEMİZLİK,6,
ELIDOR 350ML SAMP. KEPEGE KARSI 2 IN 1,KOZMETİK,6,
TARIS Z.YAGI SIZMA 5LT TNK,GIDA,6,
