is_kolu,isim,osm_id
restoran,Meşhur Samatya Bilavcısı,5088192771
restoran,Samatya börek ve pide,5088192772
restoran,Hemşerim Durumcusu,5088192773
restoran,Oses çiğ köfte,5088192778
restoran,Şölen Ocakbaşı,5088192787
restoran,Öz Ağam Kebap Lahmacun Salonu,5088192790
restoran,Meşhur Sarıyer Börekçisi,5088192802
restoran,Oses Çiğköfte,5088192817
restoran,Kardesler Koftecisi,5088194826
restoran,Saki Pub,5088194827
restoran,Köşem Büfe,5088194847
restoran,Çıtır Börek ve Pide,5088194848
restoran,Mesire kebap ve lahmacun salonu,5088194861
restoran,Tandır Taşfırın Pide Lahmacun Kebap Salonu,5088194867
restoran,Yörem urfa taş fırnı,5088194872
restoran,Çevre Kebap,5088194884
restoran,Valide Kebap ve Lahmacun Salonu,5088194885
restoran,Kırımlı Çibörek,5088194886
restoran,Şafak pide ve lahmacun,5088194890
restoran,Her Telden Çılgın Kebapçı,5088194893
restoran,Urfalı çıtır kadir lahmacun pide,5088194897
restoran,Aziz Urfa Kebap ve Lahmacun Salonu,5088194899
restoran,Kardeşler Yufkacısı,5088194904
restoran,Ay Büfe,5088194907
restoran,Başlangıç Lokantası,5088194918
restoran,Özgul börek,5088197322
restoran,Teyzemin Mutfağı,5088197335
restoran,Yeşimin Mutfağından Ev Yemekleri,5099040197
restoran,Bizim pilavcı,5099040198
restoran,Kardeş büfe,5099040200
restoran,Ahtım Köfte ve Ev Yemekleri,5099040204
restoran,Büfe köfte,5099040210
restoran,Damak Kebap Döner Yemek Salonu,5099040213
restoran,Çeşm-İ Cİhan Ev Yemeklerİ,5099040216
restoran,Ciğerci Kemal Ustanin Yeri,5099056170
restoran,Can Pide Ve Lahmacun Fırını,5099056174
restoran,Meshur Langa Borekcisi,5099056175
restoran,Lezzet diyarı,5099056179
restoran,Urfa Kebap Ve Lahmacun Salonu,5099056201
restoran,Umut Börek,5099056202
restoran,Şanlı et lokantası,5099060693
restoran,Berat döner,5099060694
restoran,Sarıyer börekçisi,5099060695
restoran,Can ocakbaşı,5099060696
restoran,Eyfel hotelium cafe and restaurant,5099062148
restoran,Bilican saray,5099062151
restoran,Kükrük,5099065445
restoran,Aksaray Mangal,5099065446
restoran,Tat Köfte,5099065447
restoran,Kerim ustanın mutfağı,5099065448
restoran,Aksaray Pilavcısı,5099065454
restoran,Doyum Lokantası,5099065456
restoran,Metin Usta Baklava,5099065472
restoran,Ustam Kebap Dünyası,5099065483
restoran,Aksaray Sucuk Köfte,5099065488
restoran,Saraç Büfe,5099065494
restoran,Doping Çiğköfte,5099065495
restoran,Çıtır pide lahmacun,5099065497
